,loss,reward,pct_explored,ep_len
0,1512671104.0,-1299.0,24.860667158429635,17.0
1,67832976.0,-2000.0,3.958794695065814,1.0
2,135185968.0,-1976.0,6.9219087670112724,2.0
3,1116190336.0,-1383.0,24.88258027786597,19.0
4,120490216.0,-1957.0,6.566725206830156,2.0
5,375873920.0,-1830.0,12.57968805291668,9.0
6,838028288.0,-1407.0,29.41510058127629,20.0
7,165088448.0,-1726.0,7.48169095042828,6.0
8,520145760.0,-616.0,37.78221778221778,18.0
9,247129488.0,-1270.0,20.07261383176376,8.0
10,589730112.0,-1377.0,30.12016892190678,23.0
11,28113594.0,-2003.0,6.767555967855506,2.0
12,53581868.0,-1842.0,10.832145259740662,3.0
13,143847904.0,-1852.0,8.53140086113165,6.0
14,357030912.0,114.0,36.42468283089911,25.0
15,11171911.0,-2000.0,4.104610708174586,1.0
16,78231528.0,-1422.0,14.520928285978227,5.0
17,67397296.0,-1933.0,8.304865971580856,3.0
18,418725696.0,952.0,40.300519303370905,25.0
19,399664192.0,-388.0,43.331468564763014,24.0
20,88483904.0,-1850.0,8.55965467907409,3.0
21,236124272.0,-301.0,27.216238141379545,25.0
22,134225904.0,-1638.0,22.76837418847556,14.0
23,310980576.0,-1808.0,27.808696152628702,22.0
24,181599504.0,-1086.0,25.330998328608178,19.0
25,241018480.0,86.0,23.497289495516586,25.0
26,100167664.0,-1661.0,6.238000750791012,4.0
27,211201648.0,-1374.0,18.702921366226935,16.0
28,120227024.0,-882.0,30.416889583933493,12.0
29,241935424.0,-1980.0,24.175210754158122,24.0
30,186697824.0,-1349.0,27.31278452992524,15.0
31,22377836.0,-1880.0,8.194840070134969,3.0
32,42054408.0,-1482.0,10.753212274570402,5.0
33,158304480.0,80.0,26.038671174694084,25.0
34,162656528.0,-1912.0,22.611537092756155,20.0
35,15181360.0,-1877.0,9.326450649916039,3.0
36,233219856.0,-1601.0,27.38003119741577,20.0
37,54136872.0,-1534.0,15.501691428707321,10.0
38,25350284.0,-1453.0,23.525097240229673,8.0
39,45444280.0,-1615.0,20.93451998416068,9.0
40,71224656.0,-1432.0,19.768370846924128,11.0
41,5155731.0,-2000.0,4.324479969286061,1.0
42,9607874.0,-1982.0,5.431464500134413,2.0
43,4141308.0,-2000.0,3.3310929583290254,1.0
44,25745870.0,-1655.0,14.354294097975123,6.0
45,133150624.0,-1271.0,29.226888778606035,18.0
46,18578564.0,-1841.0,8.046652611943923,3.0
47,228891888.0,-1526.0,31.60504876508775,24.0
48,125457920.0,-1528.0,28.60993148745824,22.0
49,46041552.0,-1469.0,20.78593652003886,8.0
50,7749532.5,-1748.0,8.2134771407467,3.0
51,52797652.0,-1551.0,9.391364892190774,5.0
52,15867785.0,-2000.0,4.064259615064249,1.0
53,28192472.0,-1719.0,10.147771169293028,4.0
54,19397748.0,-1608.0,16.198838927152043,6.0
55,82444592.0,-1500.0,19.10397403868442,12.0
56,95355264.0,-1178.0,33.61412719245913,23.0
57,130092400.0,623.0,39.89150348568845,25.0
58,15418523.0,-1942.0,7.540185616090294,4.0
59,33615596.0,-1753.0,11.335920904251134,5.0
60,3858109.5,-2000.0,2.8578850243794207,1.0
61,35389300.0,-1917.0,6.782792430834565,3.0
62,39245456.0,-1377.0,18.01171466656342,7.0
63,128117488.0,-1279.0,16.056162739588014,16.0
64,96091672.0,-106.0,37.03962930559606,25.0
